idGame,slugTeam,namePlayer,groupStartPosition,idTeam,idPlayer,fgm,fga,pctFG,fg3m,fg3a,pctFG3,pctFT,fg2m,fg2a,pctFG2,cityTeam,teamName,isStarter,minExact,ftm,fta,oreb,dreb,treb,ast,stl,blk,tov,pf,pts,plusminus,HEIGHT,WEIGHT
22200481,ATL,Jalen Johnson,NA,1610612737,1630552,1,2,0.5,0,1,0,0,1,1,1,Atlanta,Jalen,TRUE,2.6166666666666667,0,0,0,1,1,0,0,0,0,0,2,0,80,219
22200481,ATL,Aaron Holiday,NA,1610612737,1628988,1,1,1,1,1,1,0,0,0,0,Atlanta,Aaron,TRUE,2.6166666666666667,0,0,0,0,0,1,0,0,0,1,3,0,72,185
22200481,ATL,Vit Krejci,NA,1610612737,1630249,0,0,0,0,0,0,0,0,0,0,Atlanta,Vit,TRUE,2.6166666666666667,0,0,0,0,0,0,0,0,0,0,0,0,80,195
22200481,ATL,Tyrese Martin,NA,1610612737,1631213,1,1,1,0,0,0,1,1,1,1,Atlanta,Tyrese,TRUE,2.6166666666666667,2,2,0,0,0,0,0,0,1,1,4,0,78,215
22200482,MIN,Anthony Edwards,F,1610612750,1630162,13,25,0.52,3,10,0.3,1,10,15,0.6666666666666666,Minnesota,Anthony,TRUE,39.61666666666667,1,1,0,6,6,4,0,2,3,3,30,-22,76,225
22200482,MIN,Jaden McDaniels,F,1610612750,1630183,7,15,0.467,1,3,0.3333333333333333,0.667,6,12,0.5,Minnesota,Jaden,TRUE,38.61666666666667,2,3,1,5,6,4,2,3,2,3,17,-4,81,185
22200482,MIN,Rudy Gobert,C,1610612750,203497,3,4,0.75,0,0,0,0.5,3,4,0.75,Minnesota,Rudy,TRUE,35.733333333333334,2,4,4,8,12,2,0,0,2,3,8,-23,85,258
22200482,MIN,Austin Rivers,G,1610612750,203085,1,3,0.333,0,0,0,0,1,3,0.3333333333333333,Minnesota,Austin,TRUE,25.25,0,0,0,2,2,0,0,0,2,2,2,-23,76,200
22200482,MIN,D'Angelo Russell,G,1610612750,1626156,6,13,0.462,3,7,0.42857142857142855,0.857,3,6,0.5,Minnesota,D'Angelo,TRUE,38.983333333333334,6,7,3,4,7,10,0,1,2,0,21,1,76,193
22200482,MIN,Naz Reid,NA,1610612750,1629675,6,10,0.6,2,4,0.5,0,4,6,0.6666666666666666,Minnesota,Naz,TRUE,25.083333333333332,0,0,1,4,5,2,0,2,4,4,14,-1,81,264
22200482,MIN,Jaylen Nowell,NA,1610612750,1629669,6,17,0.353,1,7,0.14285714285714285,0,5,10,0.5,Minnesota,Jaylen,TRUE,22.466666666666665,0,0,0,5,5,2,0,0,0,2,13,7,76,201
22200482,MIN,Bryn Forbes,NA,1610612750,1627854,0,1,0,0,0,0,0,0,1,0,Minnesota,Bryn,TRUE,8.25,0,0,1,0,1,0,0,0,0,1,0,-15,74,205
22200482,MIN,Nathan Knight,NA,1610612750,1630233,0,0,0,0,0,0,0,0,0,0,Minnesota,Nathan,TRUE,1.2,0,0,0,0,0,0,1,0,1,0,0,4,80,253
22200482,MIN,Josh Minott,NA,1610612750,1631169,0,1,0,0,1,0,0,0,0,0,Minnesota,Josh,TRUE,1.2,0,0,0,0,0,0,0,0,0,0,0,4,80,205
22200482,MIN,Luka Garza,NA,1610612750,1630568,1,1,1,0,0,0,0,1,1,1,Minnesota,Luka,TRUE,1.2,0,0,1,0,1,0,0,0,0,0,2,4,82,243
22200482,MIN,Matt Ryan,NA,1610612750,1630346,0,0,0,0,0,0,0,0,0,0,Minnesota,Matt,TRUE,1.2,0,0,0,0,0,1,0,0,0,0,0,4,78,215
22200482,MIN,Wendell Moore Jr.,NA,1610612750,1631111,1,1,1,0,0,0,0,1,1,1,Minnesota,Wendell,TRUE,1.2,0,0,0,0,0,0,0,0,0,0,2,4,77,215
22200482,BOS,Jaylen Brown,F,1610612738,1627759,13,29,0.448,3,13,0.2307692307692308,0.7,10,16,0.625,Boston,Jaylen,TRUE,36.9,7,10,3,4,7,3,1,1,2,3,36,8,78,223
22200482,BOS,Jayson Tatum,F,1610612738,1628369,10,22,0.455,1,6,0.16666666666666666,0.818,9,16,0.5625,Boston,Jayson,TRUE,35,9,11,2,6,8,5,1,0,3,3,30,11,80,210
22200482,BOS,Al Horford,C,1610612738,201143,6,14,0.429,5,10,0.5,0,1,4,0.25,Boston,Al,TRUE,36.31666666666667,0,0,2,9,11,2,2,3,0,1,17,19,81,240
22200482,BOS,Derrick White,G,1610612738,1628401,8,13,0.615,0,3,0,0.667,8,10,0.8,Boston,Derrick,TRUE,32.61666666666667,2,3,2,3,5,3,0,2,1,3,18,23,76,190
22200482,BOS,Marcus Smart,G,1610612738,203935,2,5,0.4,2,4,0.5,0,0,1,0,Boston,Marcus,TRUE,37.983333333333334,0,0,3,4,7,10,3,0,0,0,6,20,76,220
22200482,BOS,Sam Hauser,NA,1610612738,1630573,0,2,0,0,2,0,0,0,0,0,Boston,Sam,TRUE,7.45,0,0,0,1,1,1,1,0,1,3,0,-14,79,217
22200482,BOS,Luke Kornet,NA,1610612738,1628436,1,4,0.25,0,0,0,0,1,4,0.25,Boston,Luke,TRUE,10.483333333333333,0,0,5,1,6,1,1,0,0,1,2,-3,86,250
